food_id,food_name,carbs ,protein ,fat,serving_unit ,unit_cal,weight
94,Bread,16.6,2.5,0.2,2 SI,78,32
95,Butter,0,0.0,4.1,1 S,37,5
96,Omelette,2.9,7.3,11.6,1 N,145,55
97,Coffee,18,2.8,4.3,1 C,122,120
98,Toast,4.7,0.9,0.2,2 N,24,10
99,Banana,16.4,0.7,0.2,1 N,70,60
100,Coffee,18,2.8,4.3,1 C,122,120
101,Khakkra,28.8,5.2,17.8,2 N,296,52
102,Lasoon Chutney,1.2,0.3,1.9,1 S,23,5
103,Pine apple,6.6,0.2,0.1,1 SI,28,60
104,Tea,10,0.8,1.0,1 C,52,100
105,Uttapa,55.6,11.3,7.7,1 N,337,90
106,Lasoon Chutney,1.2,0.3,1.9,1 S,23,5
107,Tea,10,0.8,1.0,1 C,52,100
108,Sabudana Khichadi,46.6,10.5,7.5,1 PI,296,100
109,Lassil,25.5,6.2,7.9,1 G,198,220
110,Chutney Sandwich,12.9,2.0,6.4,1 N,117,32
111,Apple ,16.2,0.2,0.6,1 N,71,120
112,Coffee,18,2.8,4.3,1 C,122,120
113,Rice Seasoned,14.8,1.8,4.4,1 PI,106,80
114,Chikki,15.8,1.7,1.1,2 N,80,20
